idx    x1        N  param      norm
0  -2.755    7.175 -2.755  0.019296
1  -2.257   16.502 -2.257  0.044380
2  -1.758   39.462 -1.758  0.106128
3  -1.260   58.117 -1.260  0.156299
4  -0.747   88.251 -0.747  0.237341
5  -0.264  116.951 -0.264  0.314526
6   0.249  137.758  0.249  0.370484
7   0.747  157.130  0.747  0.422583
8   1.245   89.686  1.245  0.241200
9   1.758   24.395  1.758  0.065608
10  2.257    6.457  2.257  0.017365
