idx     c        N  param      norm
0  -0.225    8.285 -0.225  0.222281
1  -0.175   26.640 -0.175  0.714733
2  -0.125   97.964 -0.125  2.628308
3  -0.077  149.194 -0.077  4.002774
4  -0.026  194.037 -0.026  5.205882
5   0.024  126.548  0.024  3.395197
6   0.074   80.064  0.074  2.148063
7   0.124   36.319  0.124  0.974414
8   0.174   19.059  0.174  0.511340
9   0.224    4.538  0.224  0.121751
10  0.275    2.805  0.275  0.075256
